Feature,Category
Syntactic Complexity Feature: Clausal Subjects per Sentence,Syntactic
Lexical Sophistication Feature: SUBTLEX Logarithmic Word Frequency (FW Token),Lexical
Cohesive Complexity Feature: Mendes Concessive Connectives per Token,Discourse
Morphological Complexity Inflection Feature: Singular per word token,Morphological
Morphological Complexity Inflection Feature: Present Subjunctive Verb per Verb Token,Morphological
Referential Cohesion: Global Lexical Overlap (lemma-based),Discourse
Lexical Sophistication Feature: SUBTLEX Logarithmic Contextual Diversity (N Type),Lexical
Syntactic Complexity Feature: Adjectival Clause per Sentence,Syntactic
Lexical Sophistication Feature: SUBTLEX Word Frequency per Million (Adv Type),Lexical
Lexical Sophistication Feature: SUBTLEX Contextual Diversity (SD V Token),Lexical
Lexical Richness: Type Token Ratio (Log10 TTR Verbs),Lexical
Syntactic Complexity: Enclitics per VP,Syntactic
Syntactic Complexity Feature: Clausal Complements per Sentence,Syntactic
Lexical Sophistication Feature: SUBTLEX Contextual Diversity (Adj Token),Lexical
Lexical Sophistication Feature: SUBTLEX Logarithmic Word Frequency (LW Token),Lexical
Syntactic Complexity Feature: Complex Nominals per Clause,Syntactic
Lexical Sophistication Feature: SUBTLEX Logarithmic Contextual Diversity (FW Token),Lexical
Morphological Complexity Inflection Feature: Feminine inflection per word token,Morphological
Lexical Sophistication Feature: SUBTLEX Contextual Diversity (SD N Token),Lexical
Lexical Sophistication Feature: SUBTLEX Logarithmic Word Frequency (N Token),Lexical
Lexical Sophistication Feature: SUBTLEX Contextual Diversity (N Token),Lexical
Number of POS Feature: Verb Tokens (without Modals),Count
Number of Syntactic Constituents: Asyndetic Coordinate Phrases,Count
POS Density Feature: Adverb,Lexical
Lexical Richness: Type Token Ratio (TTR Adjectives),Lexical
Lexical Sophistication Feature: SUBTLEX Frequency Band 1,Lexical
Number of Connectives: Mendes Causal Connectives,Count
Syntactic Complexity Feature: Mean Length of Noun Phrase,Syntactic
Lexical Sophistication Feature: Complex Word,Lexical
Syntactic Complexity Feature: Verb Phrases per T-unit,Syntactic
Morphological Complexity Inflection Feature: Number per word token,Morphological
Number of Syntactic Constituents: Passive Sentences,Count
Syntactic Complexity: Proclitics per VP,Syntactic
Syntactic Complexity Feature: It-Clefts per VP,Syntactic
Number of Syntactic Constituents: Adverbial Clauses,Count
POS Density Feature: Noun,Lexical
Dependency Locality Theory: Maximal IC at Finite Verb (less coordination weight + higher verb weight),Syntactic
Referential Cohesion: Global Noun Overlap (word form-based),Discourse
Syntactic Complexity Feature: Disjunctive Coordinate Phrases per Sentence,Syntactic
Cohesive Complexity Feature: Difficult Connectives per Token,Discourse
Number of Morphological Features: Present Subjunctive Verb,Count
Number of Syntactic Functions: Clausal Subject,Count
Number of Syntactic Constituents: Subordinate Clauses,Count
enclitics,Count
Number of Morphological Features: Passive Verb,Count
Lexical Richness: Type Token Ratio (TTR Adverbs),Lexical
Morphological Complexity Inflection Feature: Future tense per verb token,Morphological
Lexical Sophistication Feature: SUBTLEX Contextual Diversity (SD Adj Type),Lexical
Referential Cohesion: SD of Local Noun Overlap (lemma-based),Discourse
Referential Cohesion: Local Lemma Overlap,Discourse
Number of Morphological Features: Conditional Verb,Count
Cohesive Complexity Feature: Mendes Temporal Connectives per Token,Discourse
Number of Connectives: Mendes Temporal Connectives,Count
POS Density Feature: Symbol,Lexical
Mean Left Embeddedness,Syntactic
Referential Cohesion: Local Argument Overlap (lemma-based),Discourse
Cohesive Complexity Feature: Mendes Single-Word Connectives per Connective,Discourse
